,company,year,Price,kms_driven,fuel_type
123,Maruti,2007,125000,70000,Petrol
124,Maruti,2018,200000,7500,Petrol
125,Honda,2013,299000,45000,Diesel
126,Maruti,2015,220000,38000,Petrol
127,Chevrolet,2015,150000,30000,Petrol
128,Honda,2010,285000,35000,Petrol
129,Ford,2016,830000,24330,Diesel
130,Hyundai,2009,210000,65480,Petrol
131,Maruti,2013,340000,41000,Petrol
132,Tata,2006,90000,20000,Petrol
133,Hindustan,2000,70000,200000,Diesel
134,Toyota,2010,289999,70000,Petrol
135,Toyota,2012,349999,59000,Petrol
136,Toyota,2012,849999,99000,Diesel
137,Volkswagen,2014,749999,46000,Diesel
138,Volkswagen,2015,399999,2800,Petrol
139,Volkswagen,2014,274999,32000,Petrol
140,Mahindra,2015,984999,22000,Diesel
141,Renault,2014,449999,50000,Diesel
142,Honda,2015,344999,22000,Petrol
143,Nissan,2012,224999,45000,Petrol
144,Hyundai,2018,599999,21000,Petrol
145,Renault,2016,244999,11000,Petrol
146,Renault,2013,399999,41000,Diesel
147,Ford,2017,489999,39000,Petrol
148,Renault,2014,474999,50000,Diesel
149,Mahindra,2011,499999,66000,Diesel
150,Maruti,2018,310000,3000,Petrol
151,Chevrolet,2010,85000,45000,Petrol
152,Datsun,2016,245000,7000,Petrol
153,Maruti,2010,189500,38500,Diesel
154,Fiat,2012,169500,37200,Diesel
155,Maruti,2010,159500,43200,Diesel
156,Toyota,2013,275000,24800,Petrol
157,Hyundai,2014,370000,60000,Diesel
158,Hyundai,2010,168000,45872,Petrol
159,Chevrolet,2011,150000,40000,Diesel
160,Chevrolet,2011,145000,45000,Diesel
161,Chevrolet,2012,98500,38000,Diesel
162,Mahindra,2014,699000,50000,Diesel
163,Tata,2011,85000,11400,Diesel
164,Toyota,2015,575000,42000,Petrol
165,Honda,2014,549000,39000,Petrol
166,Maruti,2011,209000,47000,Diesel
167,Hyundai,2013,185000,27000,Petrol
168,Mahindra,2015,900000,97200,Diesel
169,Mahindra,2014,699999,52000,Diesel
170,Honda,2012,224999,30000,Petrol
171,Ford,2011,274999,55000,Diesel
172,Honda,2013,284999,46000,Diesel
173,Honda,2015,599999,30000,Diesel
174,Maruti,2012,199999,44000,Petrol
175,Honda,2014,544999,45000,Diesel
176,Hyundai,2009,199000,31000,Petrol
177,Tata,2016,320000,175430,Diesel
178,Hyundai,2015,540000,38000,Diesel
179,Mahindra,2013,340000,37000,Diesel
180,Fiat,2008,75000,65000,Petrol
181,Skoda,2011,159500,38200,Diesel
182,Mini,2013,1891111,13000,Petrol
183,Hyundai,2005,49000,7500,Petrol
184,Maruti,2016,700000,3350,Petrol
185,Maruti,2000,55000,60000,Petrol
186,Honda,2015,448999,54000,Petrol
187,Hyundai,2017,895000,32000,Petrol
188,Mahindra,2007,355000,75000,Diesel
189,Mahindra,2012,565000,62000,Diesel
190,Toyota,2006,365000,73000,Diesel
191,Maruti,2011,145000,41000,Petrol
192,Maruti,2011,210000,35000,Petrol
193,Tata,2013,40000,2200,Petrol
194,Maruti,2013,125000,39000,Petrol
195,Maruti,2009,135000,45000,Petrol
196,Maruti,2006,135000,45000,Petrol
197,Tata,2012,285000,65000,Diesel
198,Maruti,2010,145000,54870,Petrol
199,Maruti,2010,135000,34580,Petrol
200,Volkswagen,2009,450000,97000,Diesel
201,Renault,2015,375000,25000,Diesel
202,Mahindra,2013,375000,20000,Diesel
203,Hyundai,2014,365000,20000,Petrol
204,Hyundai,2015,500000,18000,Petrol
205,Mahindra,2012,400000,35000,Diesel
206,Mahindra,2019,390000,60,Diesel
207,Renault,2012,501000,35000,Diesel
208,Mahindra,2013,330000,80200,Diesel
209,Force,2015,580000,3200,Diesel
210,Maruti,2012,265000,46000,Diesel
211,Mahindra,2019,379000,0,Diesel
212,Maruti,2015,219000,5000,Petrol
213,Mahindra,2018,385000,588,Diesel
214,Toyota,2011,275000,36000,Diesel
215,Volkswagen,2015,330000,38000,Diesel
216,Honda,2008,110000,45000,Petrol
217,Maruti,2006,80000,71200,Petrol
218,Honda,2016,519000,52000,Diesel
219,Mahindra,2016,730000,29000,Diesel
220,Mitsubishi,2015,1475000,47000,Diesel
221,Audi,2009,699000,47000,Petrol
222,Mercedes,2015,2000000,20000,Diesel
223,Land,2015,2100000,30000,Diesel
224,Renault,2017,340000,5000,Petrol
225,Tata,2014,390000,35000,Diesel
226,Mercedes,2014,1400000,31000,Petrol
227,Datsun,2016,245000,7000,Petrol
228,Tata,2016,320000,175430,Diesel
229,Tata,2016,320000,175400,Diesel
230,Honda,2016,450000,41000,Petrol
231,Honda,2014,311000,33000,Petrol
232,Honda,2013,284999,46000,Diesel
233,Honda,2012,399999,45000,Petrol
234,Honda,2015,599999,39000,Diesel
235,Honda,2015,344999,22000,Petrol
236,Audi,2009,699000,47000,Petrol
237,Force,2015,580000,3200,Diesel
238,Mahindra,2015,855000,30000,Diesel
239,Hyundai,2015,535000,37000,Diesel
240,Mini,2013,1891111,13000,Petrol
241,Maruti,2017,699000,14000,Petrol
242,Chevrolet,2013,375000,55000,Diesel
243,Honda,2013,284999,46000,Diesel
244,Hyundai,2012,178000,30000,Petrol
245,Tata,2013,300000,50000,Diesel
246,Maruti,2003,90000,45000,Petrol
247,Maruti,2006,95000,45000,Petrol
248,Maruti,2015,255000,9300,Petrol
249,Chevrolet,2013,245000,55000,Diesel
250,Hyundai,2012,329500,36200,Diesel
251,Ford,2014,195000,50000,Diesel
252,Maruti,2015,251111,55000,Petrol
253,Maruti,2014,569999,45000,Petrol
254,Maruti,2007,69999,51000,Petrol
255,Maruti,2014,299999,19000,Petrol
256,Maruti,2009,220000,46000,Petrol
257,Maruti,2013,399999,33000,Diesel
258,Maruti,2010,249999,36000,Petrol
259,Maruti,2015,289999,22000,Petrol
260,Mini,2013,1891111,13500,Petrol
261,Nissan,2015,499999,60000,Diesel
262,Renault,2013,489999,27000,Diesel
263,Renault,2014,489999,59000,Diesel
264,Renault,2015,549999,19000,Diesel
265,Maruti,2013,380000,30000,Petrol
266,Renault,2018,325000,15000,Petrol
267,Maruti,2003,57000,56758,Petrol
268,Renault,2018,349999,10000,Petrol
269,Renault,2018,689999,20000,Diesel
270,Renault,2014,349999,49000,Diesel
271,Hyundai,2014,410000,41000,Petrol
272,Maruti,2011,225000,45000,Petrol
273,Chevrolet,2010,120000,43000,Petrol
274,Tata,2016,320000,175430,Diesel
275,Hyundai,2000,59000,56450,Petrol
276,Hyundai,2015,540000,38000,Diesel
277,Chevrolet,2010,80000,56000,Petrol
278,Mahindra,2013,340000,37000,Diesel
279,Fiat,2008,75000,65000,Petrol
280,Chevrolet,2015,220000,32700,Petrol
281,Skoda,2011,159500,38200,Diesel
282,Ford,2016,599000,30000,Diesel
283,Hyundai,2006,80000,56000,Petrol
284,Mahindra,2016,675000,9000,Diesel
285,Mini,2013,1891111,13000,Petrol
286,Mini,2013,1891111,13000,Petrol
287,Tata,2008,150000,11000,Petrol
288,Mini,2013,1891111,13000,Petrol
289,Tata,2009,72500,46000,Diesel
290,Maruti,2019,610000,73,Petrol
291,Mahindra,2004,230000,160000,Diesel
292,Honda,2009,175000,58559,Petrol
293,Mahindra,2015,855000,30000,Diesel
294,Chevrolet,2013,375000,55000,Diesel
295,Ford,2014,520000,57000,Diesel
296,Maruti,2015,524999,50000,Diesel
297,Honda,2014,299999,37000,Petrol
298,Maruti,2012,299999,40000,Petrol
299,Honda,2011,284999,55000,Petrol
300,Mahindra,2007,220000,170000,Diesel
301,Maruti,2014,424999,55000,Diesel
302,Honda,2015,644999,39000,Petrol
303,Honda,2014,399999,44000,Petrol
304,Toyota,2009,199999,65000,Petrol
305,Honda,2014,584999,39000,Petrol
306,Skoda,2012,349999,44000,Diesel
307,Renault,2015,449999,49000,Diesel
308,Maruti,2018,799999,9000,Diesel
309,Maruti,2015,444999,45000,Diesel
310,Mahindra,2014,649999,47000,Diesel
311,Hyundai,2012,444999,40000,Diesel
312,Maruti,2016,689999,29000,Diesel
313,Maruti,2016,344999,15000,Petrol
314,Mahindra,2015,944999,45000,Diesel
315,Honda,2014,274999,35000,Petrol
316,Mahindra,2013,689999,80000,Diesel
317,Mahindra,2013,574999,68000,Diesel
318,Skoda,2013,374999,50000,Diesel
319,Volkswagen,2010,199999,60000,Diesel
320,Hyundai,2016,549999,9000,Petrol
321,Tata,2012,130000,72000,Diesel
322,Chevrolet,2013,210000,60000,Petrol
323,Renault,2012,501000,38000,Diesel
324,Hyundai,2013,401000,45000,Diesel
325,Audi,2012,1350000,40000,Diesel
326,Hyundai,2013,600000,20000,Petrol
327,Mahindra,2013,610000,35000,Diesel
328,Mahindra,2016,400000,20000,Diesel
329,Renault,2015,375000,25000,Diesel
330,Mahindra,2013,375000,20000,Diesel
331,Hyundai,2014,365000,20000,Petrol
332,Hyundai,2015,500000,18000,Petrol
333,Mahindra,2012,400000,35000,Diesel
334,Hyundai,2017,524999,6821,Petrol
335,Hyundai,2014,449999,23000,Petrol
336,Hyundai,2014,174999,14000,Petrol
337,Hyundai,2012,244999,38000,Petrol
338,Hyundai,2015,574999,35000,Diesel
339,Datsun,2017,244999,22000,Petrol
340,Toyota,2011,239999,41000,Petrol
341,Hyundai,2010,99999,45000,Petrol
342,Hyundai,2014,489999,44000,Diesel
343,Maruti,2013,324999,45000,Diesel
344,Toyota,2011,1074999,52000,Diesel
345,Hyundai,2012,230000,34000,Petrol
346,Mahindra,2018,699000,1800,Diesel
347,Mahindra,2015,1000000,15000,Diesel
348,Honda,2010,240000,400000,Petrol
349,Chevrolet,2009,110000,44000,Petrol
350,Mahindra,2019,390000,60,Diesel
351,Renault,2012,501000,35000,Diesel
352,Mahindra,2016,1130000,72000,Diesel
353,Tata,2014,250000,40000,Diesel
354,Mahindra,2013,330000,80200,Diesel
355,Force,2015,580000,3200,Diesel
356,Skoda,2013,340000,48000,Diesel
357,Tata,2011,120000,90000,Diesel
358,Maruti,2015,265000,12000,Petrol
359,Maruti,2012,265000,46000,Diesel
360,Maruti,2003,85000,69900,Petrol
361,Mahindra,2019,379000,0,Diesel
362,Hyundai,2011,175000,45000,Petrol
363,Maruti,2015,219000,5000,Petrol
364,Maruti,2016,350000,166000,Diesel
365,Honda,2008,149000,42000,Petrol
366,Mahindra,2018,385000,588,Diesel
367,Mahindra,2006,425000,122,Diesel
368,Chevrolet,2017,150000,62000,Diesel
369,Honda,2010,225000,70000,Petrol
370,Hyundai,2014,375000,36000,Petrol
371,Toyota,2012,770000,0,Diesel
372,Maruti,1995,30000,55000,Petrol
373,Toyota,2011,275000,36000,Diesel
374,Volkswagen,2015,330000,38000,Diesel
375,Maruti,2014,335000,55000,Diesel
376,Hyundai,2015,450000,20000,Diesel
377,Maruti,2012,225000,40000,Petrol
378,Maruti,2004,80000,50000,Petrol
379,Tata,2016,130000,104000,Diesel
380,Volkswagen,2011,245000,65000,Diesel
381,Mercedes,2002,399000,41000,Petrol
382,Maruti,2013,450000,90000,Diesel
383,Honda,2000,65000,80000,Petrol
384,Hyundai,2006,75000,46000,Petrol
385,Maruti,2001,70000,70000,Petrol
386,Hyundai,2017,190000,36469,Diesel
387,Hyundai,2018,600000,7800,Petrol
388,Volkswagen,2011,245000,65000,Diesel
389,Maruti,2017,240000,60000,Petrol
390,Maruti,2011,155000,32000,Petrol
391,Honda,2009,169999,24695,Petrol
392,Hyundai,2017,450000,15141,Petrol
393,Maruti,2001,40000,40000,Petrol
394,Mahindra,2012,165000,65000,Diesel
395,Maruti,2014,270000,22000,Petrol
396,Hyundai,2016,280000,59910,Diesel
397,Mahindra,2012,560000,100000,Diesel
398,Hyundai,2016,950000,25000,Petrol
399,Hyundai,2013,310000,35000,Petrol
400,Renault,2015,715000,65000,Diesel
401,Hyundai,2014,340000,35000,Petrol
402,Honda,2012,235000,33000,Petrol
403,Mahindra,2017,610000,68000,Diesel
404,Chevrolet,2010,95000,23000,Petrol
405,Mahindra,2018,1000000,4500,Diesel
406,Maruti,2015,220000,129000,Diesel
407,Nissan,2019,1200000,300,Diesel
408,Maruti,2015,230000,5000,Petrol
409,Ford,2001,45000,65000,Petrol
410,Toyota,2010,940000,131000,Diesel
411,Tata,2010,155555,111111,Petrol
412,Mercedes,2013,1500000,14000,Petrol
413,Chevrolet,2016,210000,22000,Diesel
414,Ford,2013,495000,38000,Diesel
415,Tata,2016,125000,70000,Diesel
416,Hyundai,2010,195000,36000,Petrol
417,Volkswagen,2015,550000,34000,Diesel
418,Renault,2015,270000,43000,Petrol
419,Ford,2014,500000,40000,Diesel
420,Honda,2016,240000,160000,Diesel
421,Hyundai,2017,800000,12000,Petrol
422,BMW,2011,1299000,49000,Diesel
423,Skoda,2011,530000,68000,Petrol
424,Audi,2013,1499000,37000,Diesel
425,Mahindra,2012,220000,59466,Diesel
426,Mahindra,2015,900000,97200,Diesel
427,Ford,2012,250000,99000,Diesel
428,Maruti,2018,395000,25500,Petrol
429,Mahindra,2009,130000,66000,Petrol
430,Tata,2010,32000,44005,Petrol
431,Mahindra,2016,540000,35000,Diesel
432,Mahindra,2016,540000,35000,Diesel
433,Hyundai,2015,405000,28000,Petrol
434,Hyundai,2015,400000,30000,Petrol
435,Honda,2017,760000,4000,Petrol
436,Maruti,2016,500000,28000,Petrol
437,Ford,2011,175000,75000,Petrol
438,Mahindra,2015,900000,97200,Diesel
439,Honda,2017,750000,3000,Petrol
440,Hyundai,2015,419000,20000,Petrol
441,Maruti,2004,90000,50000,Petrol
442,Hyundai,2018,140000,2110,Petrol
443,Mitsubishi,2015,1540000,43222,Petrol
444,Hyundai,2008,275000,100200,Petrol
445,Toyota,2003,150000,100000,Petrol
446,Maruti,2011,230000,65,Petrol
447,Tata,2015,123000,100000,Diesel
448,Mahindra,2015,900000,97200,Diesel
449,Mahindra,2015,900000,97200,Diesel
450,Hyundai,2016,300000,140000,Diesel
451,Honda,2015,499999,55000,Petrol
452,Hyundai,2009,165000,48000,Petrol
453,Maruti,2016,498000,22000,Petrol
454,Tata,2018,480000,103553,Diesel
455,Maruti,2017,488000,80000,Diesel
456,Tata,2014,250000,99000,Diesel
457,Toyota,2010,220000,58000,Petrol
458,Maruti,2013,290000,70000,LPG
459,Toyota,2015,1525000,120000,Diesel
460,Mahindra,2013,548900,49800,Diesel
461,Tata,2019,650000,100,Diesel
462,Maruti,2001,55000,81876,Petrol
463,Maruti,2015,550000,75000,Petrol
464,Maruti,2004,90000,50000,Petrol
465,Honda,2014,399000,44000,Diesel
466,Maruti,2016,730000,55000,Diesel
467,Maruti,2017,725000,36000,Diesel
468,Hyundai,2016,195000,56000,Diesel
469,Maruti,2007,130000,62000,Petrol
470,Toyota,2015,1525000,120000,Diesel
471,Maruti,2014,190000,6020,Petrol
472,Honda,2013,250000,55700,Diesel
473,Tata,2005,80000,42000,Petrol
474,Hyundai,2003,120000,50000,Petrol
475,Maruti,2010,149000,35000,Petrol
476,Maruti,2014,250000,18500,Petrol
477,Maruti,2007,120000,7000,Petrol
478,Honda,2017,450000,11000,Petrol
479,Maruti,2003,99999,53000,Petrol
480,Maruti,2008,135000,23000,Petrol
481,Maruti,2016,225000,35500,Diesel
482,Maruti,2010,99000,22134,Petrol
483,Renault,2019,370000,1000,Petrol
484,Tata,2010,52000,9000,Petrol
485,Jaguar,2016,2800000,8500,Petrol
486,Hyundai,2014,190000,35000,Petrol
487,Honda,2014,499000,22000,Petrol
488,Hindustan,2002,90000,25000,Diesel
489,Maruti,2010,149000,40000,Petrol
490,Hyundai,2017,400000,20000,Petrol
491,Hyundai,2016,120000,87000,Petrol
492,Maruti,2015,250000,55000,Petrol
493,Maruti,2017,375000,23000,Petrol
494,Honda,2014,381000,6000,Petrol
495,Maruti,2013,180000,65000,Petrol
496,Maruti,2016,580000,25000,Diesel
497,Maruti,2015,278000,39000,Petrol
498,Hyundai,2016,1000000,8000,Petrol
499,Mahindra,2013,690000,75000,Diesel
500,Maruti,2012,480000,51000,Diesel
501,Mitsubishi,2006,85000,50000,Petrol
502,Maruti,2001,40000,75000,Petrol
503,Maruti,2015,90000,55800,Petrol
504,Hyundai,2015,340000,53000,Petrol
505,Hyundai,2018,260000,25000,Petrol
506,Ford,2009,250000,56400,Petrol
507,Maruti,2010,180000,72160,Diesel
508,Hyundai,2012,350000,10000,Diesel
509,Maruti,2006,90001,48000,Petrol
510,Maruti,2007,115000,36000,Petrol
511,Audi,2012,1599000,11500,Diesel
512,Maruti,2003,130000,133000,Petrol
513,Maruti,2009,159000,27000,Petrol
514,Maruti,2009,160000,35000,Petrol
515,Maruti,2010,110000,55000,Petrol
516,Maruti,2016,425000,40000,Petrol
517,Hyundai,2019,900000,2000,Petrol
518,Maruti,2009,150000,45000,Petrol
519,Hyundai,2009,110000,20000,Petrol
520,Hyundai,2000,51999,88000,Petrol
521,Hyundai,2009,115000,20000,Petrol
522,Chevrolet,2012,215000,65422,Diesel
523,Ford,2017,580000,10000,Petrol
524,Maruti,2013,380000,35000,Petrol
525,Hyundai,2013,350000,117000,Diesel
526,Tata,2005,35000,150000,Diesel
527,BMW,2011,1150000,72000,Diesel
528,Hyundai,2010,300000,10750,Petrol
529,Honda,2009,269000,55000,Petrol
530,Tata,2013,60000,6800,Petrol
531,Chevrolet,2014,400000,41000,Diesel
532,Hyundai,2015,430000,73000,Diesel
533,Maruti,2011,140000,65000,Diesel
534,Mahindra,2014,8500003,45000,Diesel
535,Mahindra,2018,1299000,40000,Diesel
536,Maruti,2014,199000,37000,Petrol
537,Hyundai,2006,90000,55000,Petrol
538,Force,2013,550000,140000,Diesel
539,Maruti,2019,265000,9800,Petrol
540,Chevrolet,2011,100000,27000,Petrol
541,Hyundai,2009,215000,27000,Petrol
542,Toyota,2012,380000,20000,Diesel
543,Renault,2013,401919,57923,Diesel
544,Chevrolet,2014,490000,30201,Diesel
545,Maruti,2017,280000,6200,Petrol
546,BMW,2009,650000,37518,Petrol
547,Toyota,2014,160000,24652,Petrol
548,Mahindra,2004,424000,383,Diesel
549,Chevrolet,2016,225000,95000,Diesel
550,Chevrolet,2011,350000,35000,Diesel
551,Jeep,2015,950000,3528,Diesel
552,Maruti,2013,485000,52500,Diesel
553,Hyundai,2010,205000,47900,Diesel
554,Maruti,2012,160000,14000,Petrol
555,Maruti,2018,310000,37000,Petrol
556,Tata,2017,180000,90000,Diesel
557,Mahindra,2013,549900,52800,Diesel
558,Tata,2016,150000,104000,Diesel
559,Hyundai,2011,175000,30000,Petrol
560,Tata,2014,95000,195000,Diesel
561,Tata,2016,230000,104000,Diesel
562,Tata,2016,230000,104000,Diesel
563,Tata,2004,180000,70000,Diesel
564,Hyundai,2015,400000,43000,Diesel
565,Hyundai,2013,185000,23000,Petrol
566,Renault,2015,385000,51000,Diesel
567,Maruti,2009,90000,62000,Petrol
568,Tata,2010,32000,48008,Petrol
569,Renault,2013,435000,39000,Diesel
570,Maruti,2010,225000,40000,Petrol
571,Maruti,2006,189700,48247,Petrol
572,Maruti,2012,389700,39000,Diesel
573,Maruti,2014,365000,23000,Petrol
574,Maruti,2017,360000,9400,Petrol
575,Hyundai,2010,210000,50000,Petrol
576,Hyundai,2009,170000,75000,Petrol
577,Tata,2017,380000,70000,Diesel
578,Mahindra,2009,295000,64000,Diesel
579,Toyota,2010,185000,55000,Petrol
580,Tata,2014,160000,200000,Diesel
581,Renault,2018,290000,2137,Petrol
582,Tata,2013,100000,30000,Diesel
583,Maruti,2014,315000,44000,Petrol
584,Skoda,2006,114990,65000,Diesel
585,Maruti,2012,120000,160000,LPG
586,Chevrolet,2011,125000,56000,Diesel
587,Tata,2012,210000,75000,Diesel
588,Hyundai,2018,855000,42000,Diesel
589,Tata,2012,210000,75000,Diesel
590,Mahindra,2007,260000,56000,Diesel
591,Maruti,2002,95000,10544,Petrol
592,Maruti,2011,255000,64000,Petrol
593,Mahindra,2008,300000,70000,Diesel
594,Hyundai,2014,340000,25000,Petrol
595,Hyundai,2017,550000,15000,Petrol
596,Ford,2003,60000,50000,Petrol
597,Toyota,2011,750000,147000,Diesel
598,Nissan,2011,230000,52000,Petrol
599,Chevrolet,2012,130000,90001,Diesel
600,Maruti,2017,270000,21000,Petrol
601,Maruti,2012,280000,48006,Diesel
602,Maruti,2012,280000,48006,Diesel
603,Maruti,2012,280000,48006,Diesel
604,Toyota,2012,600000,80000,Diesel
605,Maruti,2010,190000,74000,Diesel
606,Hyundai,2015,500000,22000,Petrol
607,Mahindra,2016,1065000,41000,Diesel
608,Volkswagen,2015,350000,25000,Diesel
609,Toyota,2012,350000,85000,Diesel
610,Mahindra,2016,540000,29500,Diesel
611,Hyundai,2015,470000,30000,Petrol
612,Hyundai,2014,179000,57000,Petrol
613,Maruti,2003,48000,60000,Petrol
614,Maruti,2016,650000,50000,Petrol
615,Hyundai,2013,190000,39700,Petrol
616,Hyundai,2012,500000,65000,Petrol
617,Maruti,2010,270000,67000,Diesel
618,Maruti,2008,125000,46000,Petrol
619,Hyundai,2012,188000,38000,Petrol
620,Hyundai,2016,380000,27000,Petrol
621,Hyundai,2011,365000,43000,Diesel
622,Ford,2014,465000,47000,Petrol
623,Hyundai,2011,240000,42000,Petrol
624,Chevrolet,2016,179999,19336,Diesel
625,Tata,2015,140000,60105,Diesel
626,Jaguar,2013,2190000,29000,Diesel
627,Audi,2014,2390000,34000,Diesel
628,BMW,2011,1075000,35000,Diesel
629,Maruti,2015,475000,22000,Petrol
630,BMW,2012,1025000,41000,Diesel
631,Maruti,2016,615000,21000,Diesel
632,Maruti,2013,475000,48000,Diesel
633,Maruti,2016,270000,38000,Petrol
634,Honda,2014,475000,34000,Diesel
635,Volkswagen,2011,240000,45933,Petrol
636,Honda,2005,120000,68000,Petrol
637,Audi,2016,1900000,44000,Diesel
638,Mahindra,2017,360000,35000,Diesel
639,Tata,2018,450000,102563,Diesel
640,Mahindra,2015,900000,28600,Diesel
641,Maruti,2017,650000,41800,Diesel
642,Tata,2014,275000,116000,Diesel
643,Maruti,2009,210000,59000,Petrol
644,Mahindra,2004,175000,58000,Diesel
645,Maruti,2009,85000,45000,Petrol
646,Mitsubishi,2015,1490000,42590,Diesel
647,Renault,2014,800000,7400,Diesel
648,Volkswagen,2009,450000,54500,Diesel
649,Maruti,2012,1000000,200000,Diesel
650,Audi,2013,1510000,27000,Diesel
651,Volvo,2015,1850000,42000,Diesel
652,Toyota,2014,790000,29000,Petrol
653,Mitsubishi,2015,1725000,37000,Diesel
654,Chevrolet,2012,135000,36000,Petrol
655,BMW,2011,1000000,34000,Diesel
656,Datsun,2018,299999,7000,Petrol
657,Mercedes,2009,1225000,76000,Diesel
